Your Grace	ˈgreɪs 	Ekscelencjo, Wasza Miłość
yet 	ˈjet 	jeszcze
Besides 	bɪˈsaɪdz 	Oprócz
Cersei 	[Cersei] 	Cersei
Citadel 	ˈsɪtədəl 	Cytadela
Ease 	ˈiːz 	Łatwość
Insulted 	ɪnˈsəltɪd 	Znieważony
Maintenance 	ˈmeɪntnəns 	Utrzymanie
See 	ˈsiː 	Zobaczyć
Seize 	ˈsiːz 	Chwytaj
Whoever 	huːˈevər 	Ktokolwiek
actually 	ˈæktʃ(əw)əliː 	faktycznie
alive 	əˈlaɪv 	żywy
ally 	əˈlaɪ 	sojusznik
ancestors 	ˈænˌsestərz  	Przodkowie
apologies 	əˈpɑlədʒiːz 	Przepraszam
arise 	əˈraɪz 	powstać
avenge 	əˈvendʒ 	pomścić
balcony 	ˈbælkəniː 	balkon
bannerman 	[bannerman] 	Bannerman
battlefield 	ˈbætəlˌfiːld 	pole bitwy
bawdy 	ˈbɔdiː 	sprośny
beheading 	bɪˈhedɪŋ 	ścięcie
beside 	bɪˈsaɪd 	obok
betrayed 	bɪˈtreɪd 	zdradzony
black 	ˈblæk 	czarny
bleed 	ˈbliːd 	krwawić
blisters 	ˈblɪstərz 	pęcherze
bloody 	ˈblədiː 	krwawy
boar 	ˈbɔr 	dzik
books 	ˈbʊks 	książki
boring 	ˈbɔrɪŋ 	nudny
both 	ˈboʊθ 	zarówno
bottom 	ˈbɑtəm 	dno
breath 	ˈbreθ 	oddech
broke 	ˈbroʊk 	złamał
built 	ˈbɪlt 	wybudowany
bull's 	ˈbʊlz 	byka
burning 	ˈbərnɪŋ 	palenie
burns 	ˈbərnz 	oparzenia
calling 	ˈkɔlɪŋ 	dzwoniąc
calls 	ˈkɔlz 	rozmowy
came 	ˈkeɪm 	przyszedł
capable 	ˈkeɪpəbəl 	zdolny
captive 	ˈkæptɪv 	niewoli
care 	ˈker 	obchodzi
careful 	[careful] 	ostrożny
carry 	ˈkæriː 	nosić
castle 	ˈkæsəl 	zamek
catch 	ˈkætʃ 	złapać
cater 	ˈkeɪtər 	zaspokoić
cell 	ˈsel 	komórka
centuries 	ˈsenʃriːz 	wieków
certain 	ˈsərtən 	pewny
chains; 	ˈtʃeɪnz; 	łańcuchy;
changed 	ˈtʃeɪndʒd 	zmienił
changes 	ˈtʃeɪndʒɪz 	zmiany
cheekbones 	ˈtʃiːkˌboʊnz 	kości policzkowe
chopped 	ˈtʃɑpt 	posiekane
chosen 	ˈtʃoʊzən 	wybrany
city 	ˈsɪtiː 	miasto
city's 	ˈsɪtiːz 	miasta-tych
clever 	ˈklevər 	mądry
clothes 	ˈkloʊðz 	odzież
coins 	ˈkɔɪnz 	monety
color 	ˈkələr 	kolor
coming 	ˈkəmɪŋ 	przyjście
commands 	kəˈmændz 	Polecenia
complicated 	ˈkɑmpləˌkeɪtəd 	skomplikowany
conclave 	ˈkɑnˌkleɪv 	konklawe
confessed 	kənˈfest 	przyznał się
conquerors 	[conquerors] 	zdobywcy
considered 	kənˈsɪdərd 	za
content 	kənˈtent 	zawartość
convenient 	kənˈviːnjənt 	wygodny
copies 	ˈkɑpiːz 	Kopie
coronation 	ˌkɔrəˈneɪʃən 	koronacja
corpsey 	[corpsey] 	corpsey
country 	ˈkəntriː 	kraj
couple 	ˈkəpəl 	para
courtesy 	ˈkərtəsiː 	uprzejmość
created 	kriːˈeɪtɪd 	stworzony
crow 	ˈkroʊ 	wrona
crushed 	ˈkrəʃt 	zgnieciony
crypts 	ˈkrɪpts 	krypty
damn 	ˈdæm 	cholerny
daybreak 	[daybreak] 	przedświt
debts 	ˈdets   	długi
desserts 	dɪˈzərts 	desery
disregards 	ˌdɪsrɪˈgɑrdz 	lekceważy
ditch 	ˈdɪtʃ 	rów
dominion 	dəˈmɪnjən 	panowanie
drag 	ˈdræg 	przeciągnij
drowning 	ˈdræʊnɪŋ 	utonięcia
dumb 	ˈdəm 	niemy
eager 	ˈiːgər 	chętny
eunuchs 	ˈjuːnəks 	eunuchowie
fact 	ˈfækt 	fakt
fancy 	ˈfænsiː 	fantazyjny
fathered 	ˈfɑðərd 	ojcem
fealty 	ˈfiːltiː 	lojalność
fill 	ˈfɪl 	wypełniać
fine 	ˈfaɪn 	grzywna
fishwives 	[fishwives] 	fishwives
five-copper 	[five-copper] 	pięć-miedzi
flea 	ˈfliː 	pchła
fleeing 	[fleeing] 	uciekając
fleet 	ˈfliːt 	flota
fond 	ˈfɑnd 	lubiący
forbid 	fərˈbɪd 	broń
forged 	ˈfɔrdʒd 	sfałszowany
fortnight 	ˈfɔrtˌnaɪt 	dwa tygodnie
fortunate 	ˈfɔrtʃnət 	szczęśliwy
freerider 	[freerider] 	freerider
generosity 	ˌdʒenəˈrɑsətiː 	hojność
goat 	ˈgoʊt 	koza
gotten 	ˈgɑtən 	zdobyć
gouge 	ˈgæʊdʒ 	wyżłobienie
groom 	ˈgruːm 	pan młody
harmless 	ˈhɑrmləs 	nieszkodliwy
haunt 	ˈhɔnt 	straszyć
heirs 	ˈerz 	spadkobiercy
herders 	ˈhərdərz 	pasterze
honored 	ˈɑnərd 	zaszczycony
hound 	ˈhæʊnd 	ogar
hunting 	ˈhəntɪŋ 	polowanie
incest 	ˈɪnˌsest 	kazirodztwo
interruption 	[interruption] 	przerwa
jaws 	ˈdʒɔz 	szczęki
lad 	ˈlæd 	chłopak
land 	ˈlænd 	ziemia
lays 	ˈleɪz 	określa
lid 	ˈlɪd 	pokrywa
liege 	liːˈeʒ 	lenny
litter 	ˈlɪtər 	śmieci
manned 	ˈmænd 	obsadzony
marching 	ˈmɑrtʃɪŋ 	marszu
mark 	ˈmɑrk 	oznaczyć
match 	ˈmætʃ 	pasować
million 	ˈmɪ(l)jən 	milion
mockingbird 	ˈmɑkɪŋˌbərd 	przedrzeźniacz
modest 	ˈmɑdəst 	skromny
mortared 	ˈmɔrtərd 	zaprawa
nephew 	ˈnefjuː 	bratanek
omen 	ˈoʊmən 	omen
outnumber 	ˌæʊtˈnəmbər 	przewyższać liczebnie
paces 	ˈpeɪsɪz 	kroków
pardon 	ˈpɑrdən 	ułaskawienie
peasant's 	ˈpezənts 	chłopski
piss 	ˈpɪs 	sikanie
pissed 	ˈpɪst 	pijany
ploughmen 	[ploughmen] 	oraczy
puff 	ˈpəf 	ptyś
punishable 	ˈpənɪʃəbəl 	karze
rallied 	ˈræliːd 	zebrali
rally 	ˈræliː 	rajd
ravishing 	ˈrævɪʃɪŋ 	przeuroczy
reaps 	ˈriːps 	zbiera
rebelling 	rɪˈbelɪŋ 	buntować
rebels 	ˈrebəlz 	Rebelianci
redeeming 	rɪˈdiːmɪŋ 	umorzenia
refugees 	ˌrefjʊˈdʒiːz 	uchodźców
regards 	ˈreɪ  	chodzi
remarkable 	rɪˈmɑrkəbəl 	niezwykłe
renounce 	rɪˈnæʊns 	zrzec się
report 	rɪˈpɔrt 	sprawozdania
reports 	rɪˈpɔrts 	Raporty
ridiculous 	rəˈdɪkjələs 	śmieszny
rough 	ˈrəf 	szorstki
rum 	ˈrəm 	rum
safekeeping 	ˈseɪfˈkiːpɪŋ 	przechowywanie
scum 	ˈskəm 	szumowiny
seas 	ˈsiːz 	morza
servant 	ˈsərvənt 	sługa
sewers 	ˈsuːərz 	kanalizacja
slut 	ˈslət 	dziwka
sorts 	ˈsɔrts 	sortuje
southern 	ˈsəðərn 	południowy
sows 	ˈsæʊz 	maciory
spare 	ˈsper 	zaoszczędzić
spit 	ˈspɪt 	pluć
stableboy 	[stableboy] 	stajenny
staring 	ˈsterɪŋ 	wpatrując
starvation 	stɑrˈveɪʃən 	głód
stem 	ˈstem 	powstrzymać
stink 	ˈstɪŋk 	cuchnąć
stinks 	ˈstɪŋks 	śmierdzi
string 	ˈstrɪŋ 	ciąg
succession 	səkˈseʃən 	sukcesja
sue 	ˈsuː 	pozwać
summoned 	ˈsəmənd 	wezwany
sunk 	ˈsəŋk 	zatopiony
swear 	ˈswer 	przysięgać
sympathize 	ˈsɪmpəˌθaɪz 	współczuć
thankful 	ˈθæŋkfəl 	wdzięczny
throat 	ˈθroʊt 	gardło
tracked 	ˈtrækt 	śledzone
treason 	ˈtriːzən 	zdrada
tricked 	ˈtrɪkt 	oszukany
tricking 	ˈtrɪkɪŋ 	oszukiwanie
trusts 	ˈtrəsts 	ufa
trustworthy 	ˈtrəstˌwərðiː 	godny zaufania
truths 	ˈtruːθs 	prawdy
twat 	ˈtwɑt 	cioto
unpunished 	[unpunished] 	bezkarny
villages 	ˈvɪlɪdʒɪz 	wsi
vines 	ˈvaɪnz 	winorośl
warfare 	ˈwɔrˌfer 	walka
waste 	ˈweɪst 	marnować
weaken 	ˈwiːkən 	osłabiać
wheat 	ˈwiːt 	pszenica
within 	wɪˈðɪn 	w ciągu
yoke 	ˈjoʊk 	jarzmo
